id,host_id,neighbourhood_cleansed,latitude,longitude,host_since,price,price_category,price_per_person,room_type,property_type,accommodates,host_total_listings_count,host_professional,host_scope,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,host_is_superhost,estimated_revenue_l365d,estimated_occupancy_l365d
417879,2077579,Santa Margalida,39.75961,3.16698,2012-04-05,155.0,Mid-range,25.833333333333332,Entire home/apt,Entire rental unit,6,1.0,False,Local,74,4.77,4.92,4.77,4.97,4.96,4.63,4.78,0.46,f,10850.0,70
423427,2105638,Palma de Mallorca,39.57222,2.63849,2012-04-10,130.0,Mid-range,43.333333333333336,Entire home/apt,Entire rental unit,3,5.0,True,Mixed,116,4.47,4.63,4.55,4.85,4.81,4.71,4.52,0.71,f,0.0,0
429794,1857132,Santanyí,39.37787,3.2334,2012-03-04,750.0,Luxury,75.0,Entire home/apt,Entire chalet,10,1.0,False,Local,28,4.54,4.54,4.46,4.89,4.68,4.86,4.25,0.21,f,45000.0,60
430192,2138439,Felanitx,39.4263,3.26493,2012-04-14,150.0,Mid-range,37.5,Entire home/apt,Entire home,4,2.0,False,Mixed,187,4.9,4.89,4.87,4.98,4.99,4.92,4.75,1.15,t,18000.0,120
440338,2098487,Llubí,39.70417,3.05733,2012-04-09,115.0,Mid-range,38.333333333333336,Entire home/apt,Entire guesthouse,3,6.0,True,Local,115,4.78,4.68,4.58,4.9,4.94,4.75,4.47,1.5,t,21850.0,190
441723,2195138,Esporles,39.67236,2.57588,2012-04-22,89.0,Budget,29.666666666666668,Entire home/apt,Entire townhouse,3,1.0,False,Local,219,4.7,4.79,4.75,4.84,4.76,4.78,4.67,1.44,f,16020.0,180
441930,2196114,Muro,39.80144,3.11662,2012-04-22,238.0,Premium,29.75,Entire home/apt,Entire townhouse,8,1.0,False,Local,39,4.92,4.95,4.9,4.95,4.97,4.66,4.82,0.26,f,11424.0,48
441953,1230477,Palma de Mallorca,39.5755,2.63928,2011-09-30,400.0,Premium,50.0,Entire home/apt,Entire rental unit,8,26.0,True,Global,213,4.57,4.65,4.7,4.77,4.8,4.69,4.45,1.33,,102000.0,255
444577,2202506,Santa Margalida,39.72998,3.1172,2012-04-23,221.0,Premium,27.625,Entire home/apt,Entire cottage,8,3.0,False,Mixed,15,4.87,4.8,4.93,4.8,5.0,4.6,5.0,0.1,f,9282.0,42
446863,2219169,Lloret de Vistalegre,39.61042,2.97425,2012-04-25,141.0,Mid-range,35.25,Entire home/apt,Entire home,4,1.0,False,Local,53,4.62,4.58,4.32,4.91,4.83,4.72,4.58,0.39,f,4230.0,30
454632,2258557,Santa Margalida,39.74306,3.13038,2012-04-30,255.0,Premium,63.75,Entire home/apt,Entire cottage,4,1.0,False,Local,36,4.71,4.71,4.63,4.89,4.91,4.6,4.54,0.22,f,10710.0,42
467037,1509460,Santa Margalida,39.71283,3.10262,2011-12-16,214.0,Premium,35.666666666666664,Entire home/apt,Entire cottage,6,3.0,False,Local,61,4.82,4.74,4.75,4.85,4.81,4.68,4.64,0.4,f,3852.0,18
489119,2342314,Pollença,39.91929,3.05607,2012-05-10,100.0,Budget,50.0,Entire home/apt,Entire rental unit,2,1.0,False,Local,178,4.86,4.89,4.85,4.9,4.91,4.83,4.79,1.1,t,18000.0,180
489666,2421727,Pollença,39.8718,3.03298,2012-05-20,400.0,Premium,57.142857142857146,Entire home/apt,Entire home,7,1.0,False,Local,4,4.75,4.5,4.5,5.0,5.0,4.75,4.25,0.06,f,0.0,0
490567,2152325,Sóller,39.8023,2.69921,2012-04-16,128.0,Mid-range,64.0,Entire home/apt,Entire rental unit,2,3.0,False,Mixed,20,4.85,4.9,4.65,4.8,4.95,4.85,4.65,0.13,t,14336.0,112
493832,2425495,Sant Llorenç des Cardassar,39.57488,3.37474,2012-05-21,222.0,Premium,37.0,Entire home/apt,Entire chalet,6,1.0,False,Local,16,4.88,5.0,4.88,5.0,5.0,4.94,4.88,0.1,f,0.0,0
495837,2448961,Calvià,39.58225,2.46853,2012-05-23,233.0,Premium,58.25,Entire home/apt,Entire rental unit,4,2.0,False,Local,14,5.0,4.92,4.92,4.77,4.85,4.92,4.92,0.1,t,4194.0,18
503803,1122459,Palma de Mallorca,39.5689,2.65581,2011-09-07,180.0,Mid-range,90.0,Entire home/apt,Entire rental unit,2,3.0,False,Mixed,231,4.95,4.93,4.91,4.97,4.98,4.93,4.8,1.44,t,37440.0,208
511420,2519349,Alcúdia,39.86347198486328,3.137542963027954,2012-06-01,360.0,Premium,36.0,Entire home/apt,Entire home,10,1.0,False,Local,35,4.91,4.91,4.94,5.0,4.97,4.94,4.76,0.22,f,20160.0,56
529897,2589349,Llucmajor,39.51092,2.91346,2012-06-09,100.0,Budget,20.0,Entire home/apt,Entire home,5,5.0,True,Mixed,0,,,,,,,,,f,0.0,0
536354,2642411,Manacor,39.56372,3.37322,2012-06-15,220.0,Premium,36.666666666666664,Entire home/apt,Entire rental unit,6,2.0,False,Mixed,115,4.85,4.9,4.88,4.93,4.92,4.8,4.84,0.73,t,19360.0,88
536911,2637011,Pollença,39.91854,3.0553,2012-06-14,285.0,Premium,57.0,Entire home/apt,Entire villa,5,1.0,False,Local,3,4.33,3.67,4.33,5.0,5.0,4.67,4.0,0.03,f,3990.0,14
546665,2688177,Manacor,39.53005,3.31912,2012-06-20,160.0,Mid-range,26.666666666666668,Entire home/apt,Entire home,6,2.0,False,Mixed,1,5.0,4.0,4.0,5.0,5.0,5.0,5.0,0.01,f,0.0,0
548218,2694897,Palma de Mallorca,39.57197,2.65196,2012-06-20,210.0,Premium,52.5,Entire home/apt,Entire rental unit,4,5.0,True,Local,648,4.76,4.88,4.84,4.88,4.93,4.9,4.72,4.11,t,53550.0,255
553166,2718219,Fornalutx,39.78118,2.74,2012-06-23,165.0,Mid-range,41.25,Entire home/apt,Entire cabin,4,1.0,False,Local,159,4.95,4.92,4.96,4.92,4.97,4.92,4.8,0.99,t,21780.0,132
575431,2830334,Son Servera,39.64907,3.37745,2012-07-04,72.0,Budget,36.0,Entire home/apt,Entire condo,2,1.0,False,Local,55,4.33,4.8,4.04,4.56,4.82,4.71,4.53,0.34,f,2304.0,32
593604,2931800,Palma de Mallorca,39.55739,2.60745,2012-07-14,58.0,Budget,14.5,Entire home/apt,Entire rental unit,4,7.0,True,Global,37,4.56,4.68,4.49,4.84,4.7,4.62,4.65,0.25,f,14790.0,255
612483,2295397,Palma de Mallorca,39.57579,2.64799,2012-05-05,88.0,Budget,44.0,Private room,Private room in rental unit,2,7.0,True,Mixed,153,4.72,4.82,4.78,4.88,4.89,4.94,4.61,1.1,f,22440.0,255
